"transit_timestamp","station_complex","borough","payment_method","fare_class_category","ridership","transfers","Georeference"
"09/01/2025 12:00:00 AM","174 St (2,5)","Bronx","omny","OMNY - Full Fare","9","0","POINT (-73.88773 40.837288)"
"09/01/2025 12:00:00 AM","111 St (7)","Queens","omny","OMNY - Fair Fare","3","0","POINT (-73.85533 40.75173)"
"09/01/2025 12:00:00 AM","Inwood-207 St (A)","Manhattan","omny","OMNY - Fair Fare","3","0","POINT (-73.9199 40.868073)"
"09/01/2025 12:00:00 AM","Brook Av (6)","Bronx","omny","OMNY - Full Fare","6","0","POINT (-73.91924 40.807568)"
"09/01/2025 12:00:00 AM","Bedford Av (L)","Brooklyn","omny","OMNY - Full Fare","560","3","POINT (-73.95687 40.717304)"
"09/01/2025 12:00:00 AM","Bay Pkwy (D)","Brooklyn","omny","OMNY - Fair Fare","1","0","POINT (-73.99373 40.601875)"
"09/01/2025 12:00:00 AM","8 Av (N)","Brooklyn","omny","OMNY - Other","1","0","POINT (-74.01172 40.635063)"
"09/01/2025 12:00:00 AM","49 St (N,R,W)","Manhattan","omny","OMNY - Other","1","0","POINT (-73.98414 40.7599)"
"09/01/2025 12:00:00 AM","1 Av (L)","Manhattan","metrocard","Metrocard - Fair Fare","4","1","POINT (-73.98163 40.730953)"
"09/01/2025 12:00:00 AM","Graham Av (L)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","2","0","POINT (-73.94405 40.714565)"
"09/01/2025 12:00:00 AM","Graham Av (L)","Brooklyn","omny","OMNY - Full Fare","50","0","POINT (-73.94405 40.714565)"
"09/01/2025 12:00:00 AM","Grand St (L)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1","0","POINT (-73.94067 40.711926)"
"09/01/2025 12:00:00 AM","Jefferson St (L)","Brooklyn","omny","OMNY - Full Fare","179","2","POINT (-73.92291 40.706608)"
"09/01/2025 12:00:00 AM","28 St (R,W)","Manhattan","omny","OMNY - Fair Fare","2","0","POINT (-73.98869 40.745495)"
